 [ e4 ]  [ e5 ]  [ N f3 ]  [ N c6 ] , [ B b5 ]  The Ruy Lopez also known as the Spanish Game. Or the Spanish Torture.
 [ B d3 ] , [ R g8 ]  3)
 [ Q g4 ]  [ B e2 ]  [ Q h4 ] , [ Q x d4 ]  Now it's safe to take the pawn.
 [ e4 ] , [ c6 ]  Playing into my beloved caro-kann. It was at this point the Jkarp told me that he had very little experience with this move. So right from the first move I would say that I had the advantage because now white is on his own and he has very little idea of the ins and outs of the caro-kann.
 [ Q e6 ]  [ Q d5 ]  [ Q c8 ] , [ a5 ]  31. ...... [ a5 ] - I get this move in at last but that's how far as it gets. The Witch now annoys me with her checks!
 [ f3 ]  [ R h e8 ]  [ h4 ] , [ B x c3 ]  Not the best move here. I can't really remember why I played it... His knight wasn't causing me any trouble. Just making some room on the board maybe :)
 [ B x e7 + ]  [ B x e7 ] , [ B x h7 ]  More punishment... black is not happy here.
 [ h5 ]  [ K g2 ] , [ h4 ]  Black advances the KRP a maneuver which does little to free his game.
 [ R f6 ] , [ B x a2 ]  [!] Some interesting tactics appear hereabouts. Has Black blundered a piece?
 [ R d8 + ] , [ K h7 ]  At this point I lose track of exactly what happened but it's clear that white will win (though still up only a pawn) and win he did.
 [ e x d4 ]  [ N x d4 ] , [ c5 ]  This is not the most accurate move [ N x e4 ] or castling could be played
 [ N c3 ]  [ R x b7 ] , [ N e2 + ]  ?! Not best but it does not really matter at this point. Perhaps [ N e4 ] was worth a shot.
 [ d4 ]  [ Q a5 ]  [ B b5 ] , [ N e8 ]  My knight is headed into action...
 [ N b6 ] , [ Q c1 ]  23. [ R b1 ] a5... Pawn [ a4 ] is lost after all my warnings...
 [ B c5 + ] , [ K h1 ]  Only move. Were Black's queen not on the long diagonal those Black bishops would be a considerable constraint upon White's K-side ambitions. But the queen is handily placed on [ c6 ] as will be seen.
 [ Q g4 ] , [ f6 ]  Supporting the advanced g pawn.
 [ Q x e5 ] , [ R f e1 ]  I actually started to feel good about my prospects. John offered a draw again. "Fancy an early bath?" "If you're offering a draw no thanks let's play on a bit it's just getting interesting." I think I was somewhat over-optimistic!
 [ O-O ] , [ N g x e5 ]  A no brainer. Go up one. I fantasize about exchanges ... 11. [ N x e5 ] [ N x e5 ] 12. [ B x e5 ] [ B x e5 ] 13. [ c3 ] [ b6 ] 14. [ B d5 ] [ R b8 ] ... but he recognizes the situation.
 [ a4 ] , [ R b2 + ]  My original idea here was to snap up the f-pawn after king moves to back rank
 [ K g2 ]  [ R f2 + ] , [ K h3 ]  Got the opposition's King trapped and fixed. With assistance from The IN (LIGHT)...
 [ Q x c7 ] , [ R x b2 ]  In his eagerness to snatch back the Pawn Black leaves his first rank undefended.
 [ b5 ] , [ B d5 ]  ...and attack one of my opponent's...
 [ K x e2 ] , [ Q g4 + ]  This time the inattention is mine. I would take the N ing the K but I didn't see B
 [ e x d4 ]  [ N x d4 ] , [ c5 ]  Although it fends off the knight on [ d4 ] this move creates a backwards pawn on [ d6 ] that white will look to attack and an outpost for a white piece on d5.
 [ N f5 ] , [ R d3 ]  white can't move his rook off the 3rd rank without losing his bishop he could have played [ R f3 ] however this fails to 21...[ N c d4 ] 22.[ R d3 ] [ B c6 ] 23. [ R h d1 ] [ d5 ] 24. [ B f2 ] [ d x c4 ]  [ N b4 ]  [ R f3 ] , [ B c6 ]  And I remove the last available square for the rook. White must now lose a rook for the bishop but does have some tricks available using my undefended knight
 [ h x g6 ]  [ e ]  [ p ]  [ h5 ] , [ g7 ]  The g pawn cannot be stopped and will promote next move. There is no way for Black to avoid a quick checkmate.
 [ N g8 ] , [ Q e2 ]  And now it's more then just castling as Sandre has brought his Queen out before that or completing his development which would be bringing his [ B c1 ] into play.
 [ Q x b3 ]  [ N c4 ]  [ R a2 ] , [ R a1 ]  My only move to save me!
 [ d4 ] , [ B b6 ]  Now White seizes the initiative...
 [ a5 ]  [ g3 ]  [ h x g3 ]  [ h x g3 ]  [ f x g3 ]  [ R x g3 ] , [ a6 ]  And this seems to actually help black; I'm closing things up and the bishop at [ a8 ] will defend happily and maybe hope to get a look along the long diagonal at some later stage. Meanwhile my king is getting quite open.
 [ B a4 ]  [ R c4 ]  [ b5 ]  [ R c8 + ]  [ K g7 ]  [ h4 ]  [ R d1 ]  [ f4 ]  [ c1 = Q ]  [ R e8 ]  [ Q x f4 + ]  [ K h3 ] , [ R h1 # ]  Many thanks for reading. Please leave a comment or two and rate my annotation on the star system. Until next time dear reader!
 [ c5 ]  [ N b5 ] , [ N e6 ]  [ d6 ] pawn appears to be free
 [ g x f6 ] , [ R a f1 ]  I do not want to waste a move taking a free pawn when I'm still down a knight. Black can try to complicate things with [ f5 ] but I have [ R g3 ] [ N g6 ] QxQ RxQ ex[ f5 ] totally winning for White.
 [ N f6 ] , [ b4 ]  This move is a complete mystery to me at the moment it seems to serve no purpose other than perhaps to give the white dsb even more room to manoeuvre
 [ R x c5 ] , [ R x c5 ]  Now it's just a matter of not blundering away my advantage.
 [ e4 ]  [ d5 ]  [ e x d5 ] , [ N f6 ]  Exploring the Icelandic.
 [ B x f3 ] , [ g x f3 ]  this gave me the excellent approach on g-column
 [ N g3 ] , [ R x d3 ]  with no major pieces available and defeat certain i resigned.. again when i reviewed my game i found that i did not properly develop my pieces in the middle game..suggestions welcome
 [ N c4 ] , [ N f d2 ]  This Knight wasn't very active on [ f3 ] so White exchanges it off.
 [ e4 ]  [ e5 ]  [ N f3 ]  [ N c6 ] , [ B c4 ]  Aiming for an italian opening. I am not familiar with playing this with black I must say but I guess is all about flipping sides. But since I am better aware with the three knight defence I will try that.
 [ B g4 ]  [ f3 ]  [ B e6 ] , [ B f4 ]  At this point white's idea is to keep his knight it could be white knight versus black bishop.
 [ K d5 ]  [ h5 ]  [ K e5 ]  [ h4 ]  [ K f5 ]  [ h3 ]  [ K g5 ] , [ h2 ]  White resigned at this point nothing can be done to stop the h- pawn from promoting. I would like to thank Japaneseb[ e e f1 ] for this very good game that we played!
 [ N e5 + ] , [ K e8 ]  I had different feasibility's. But for several reasons this is the best move for black. As noted earlier however he is about to get something back.
 [ N x c4 ] , [ B b4 ]  Try to castle with best developing moves.
 [ O-O ]  [ B g7 ]  [ d3 ]  [ N f6 ] , [ c3 ]  White has to try to break the centre I suppose although I can see that 10. [ c4 ] and playing for a reversed Benoni/Benko type position is interesting.
 [ N f6 + ]  [ K h8 ]  [ N x e8 + ]  [ K g8 ] , [ Q g7 # ]  Great finish for a good game.
 [ B d3 ] , [ f5 ]  Well just 5 moves and no pieces developed. Fine.
 [ R e1 ] , [ N e8 ]  with the idea of ...[ N c7 ] to support b7-[ b5 ]  [ e4 ] , [ N c7 ]  Alternative variation: 14... [ N e5 ] 15. [ N x e5 ] [ B x e5 ] 16. [ B x e5 ] [ Q x e5 ] [∞]
 [ O-O ]  [ O-O-O ]  [ c x d5 ]  [ c x d5 ]  [ B d7 ] , [ N g e2 ]  White's spatial advantage is obvious. Black must find a way to free his game.
 [ d5 ]  [ N c3 ] , [ c6 ]  But this is where we start to get into unfamiliar territory as far as I'm concerned. I would've played 4...[ d x c4 ] as I've seen in other games. So this is where as Ken put it the "more educational approach" appears for me. As there's something to be learned for a move that one hasn't seen before. In fact I learned plenty when I first saw and played against the Caro Kann Defense with elyhim.
 [ Q x g4 ] , [ N c2 + ]  It's a trap!
 [ K e7 ] , [ B c5 # ]  ...and the bishop can move in for the kill.
 [ N e7 + ]  [ K b6 ] , [ N x g6 ]  And black resigned. A fun game against a Sicilian albeit probably a little boring unlike most Sicilians. The push [ d5 ] by black would have been a much more interesting game I'm thinking! Thanks for getting this far. Any comments are appreciated.
 [ B x g7 ] , [ K x g7 ]  Black has the option to grab the rook on [ h1 ] which should leave him in a stronger position than the [ K x g7 ] option. (13. ... Nx[ h1 ] 14. [ N f6 ] [ K x g7 ] 15. [ N x e8 ] [ Q x e8 ] 16. [ B d3 ] [ N f2 ] which creates another fork of White's remaining rook and the WSB. )
 [ Q g8 ] , [ R x f6 + ]  [?] Instead White could have tried again with 43.[ Q h4 ] and probably have had enough to secure the draw. After this the advantage changes hands once more...
 [ K f7 ] , [ N x a7 ]  Finally whites plan is done. He is now ahead in material the difference of a rook vs. knight.
 [ R c2 ] , [ g3 ]  ? Ironically the best move a move ago GK considers this weak because it gives Black too much play. If I was going to proceed with my plan I needed to be bold and play consistently with 40. [ a5 ] [ R x g2 ] 41. [ a x b6 ] [ R g8 ] 42. [ b5 ] [ R b8 ] 43. [ K e3 ] [ R x b6 ] 44. [ R b4 ] [ K d6 ] 45. [ K d4 ] [ R b7 ] 46. [ R b3 ] [ R b6 ] 47. [ f4 ] [ h5 ] with some advantage.
 [ c4 ] , [ b6 ]  I've been experimenting with this defense as it can be played against anything. That's the plus side. The downside is that sometimes the positions are too passive for my taste.
 [ e x d4 ] , [ c x d4 ]  Now I can put my dsb safely on [ b4 ] with little that white can do to attack it.
 [ K g1 ]  [ R b1 ] , [ N c3 ]  Think I will have that knight
 [ c5 ]  [ B e5 ]  [ N d7 ]  [ R b1 ]  [ Q x a2 ]  [ B x c7 ] , [ b5 ]  Breaking the line of Analysis of 15. [ B d4 ] [ c5 ] 16. Beg [ N d7 ] 17. [ R b1 ] [ Q x a2 ] 18. Bxc7.
 [ R h e8 ]  [ R e1 ] , [ R d7 ]  Ok I have to admit I wasn't on a clear plan here but I would have doubled the rookd depending on his move. Dont' do that at home :-)
 [ d x c8 = Q + ]  [ Q x c8 ] , [ N c4 ]  After the promotion he attacks my pawn which I defend with my next move. I also considered 30...[ Q e6 ] but 30...[ f5 ] was played to get a pawn chain. What I didn't realize is that this chain is ineffective since it does not include passed pawns. From experience I've learned that passed pawns are in general only effective when one of them is a passer.
 [ B x a6 ] , [ b x a6 ]  Best moves for both sides.
 [ R x b4 ]  [ R x b4 ]  [ c x b4 ] , [ R x c6 ]  White is preparing dangerous attack on black king...
 [ d3 ]  [ B d6 ] , [ N c4 ]  The knight moves again. I am two steps from finishing my development. White only has the knight and queen out.
 [ h6 ] , [ N h4 ]  N on the edge is not effective - were you thinking [ N g6 ] coming ?
 [ K f8 ]  [ e x f6 ]  [ B x f6 ] , [ B h5 ]  12. [ B h5 ] - making room for Glenda to invade on g6. After black naturally responds with 12.......... [ Q e7 ] I force some exchanges which will open up the black castled position a little further.
 [ B x f6 ]  [ R a c1 ]  [ R g5 + ] , [ K f1 ]  Best to move towards the center. No reason to have my King trapped on the KR file.
 [ K g3 ]  [ R g7 + ]  [ K h3 ]  [ R e7 ]  [ K g3 ]  [ R g7 + ] , [ K h2 ]  No perpetual check or threefold repetition...
 [ B b4 ]  [ c3 ]  [ f6 ]  [ Q g3 ]  [ B e7 ] , [ N d2 ]  Just jockeying around for position and developing pieces.
 [ N d4 ] , [ c5 ]  18. ..... [ c5 ] - pawn stab part 2!
 [ N f3 ]  [ c5 ]  [ O-O ]  [ c x d4 ]  [ e x d4 ]  [ d x c4 ] , [ B x c4 ]  now he has a isolated [ d4 ] pawn.
 [ b x c3 ]  [ Q a5 ] , [ Q b3 ]  A bit unecessary. The queen would have been better placed on [ c2 ] or d3. I wanted to avoid [ B d2 ] as there are many other tempting squares for him.
 [ Q e8 ]  [ B x b6 ] , [ c x b6 ]  14. ....... [ c x b6 ] - bishop trade.
 [ a4 ] , [ b6 ]  Forward a and h pawns bode ill in an even endgame - this is my feeling and i invite judgement on this because i just don't know.
 [ K g4 ]  [ g7 ] , [ K x f4 ]  ...and although I lose my other pawn...
 [ B x f4 ]  [ Q x f4 ]  [ c3 ]  [ B c5 ]  [ N e4 ]  [ B b6 ]  [ O-O ]  [ d5 ] , [ N g3 ]  I didn't see the tactics here. [ N d2 ] would have been better. A second pawn is fatal in this position.
 [ N c3 ]  [ R a b8 ]  [ R a b1 ] , [ B f7 ]  18. ......... [ B f7 ] to make way for Henry to come to [ e6 ] but white decides to expand on the kingside.
 [ d5 ]  [ c x d5 ]  [ N x d5 ] , [ N e4 ]  [ f5 ] is tempting but I "smell" some danger associated with the WQ's coming in so better to be conservative...
 [ N x d4 ]  [ N x d4 ]  [ R x d4 ]  [ B x b5 ] , [ Q c8 ]  White's bishops are the obvious asset of this position. However Topalov pointed out that after 24.[ B d6 ] [ R e4 ] 25.[ Q d2 ] [ R x e1 + ] and 26...[ Q x c2 ] that Black can regain composure with [ Q e4 ] or Kd8.
 [ Q x b3 ] , [ Q g5 + ]  Black goes on the attack with the thought of possible mate with white's king trapped on the side.
 [ K x f7 ]  [ R f1 + ]  [ K e7 ]  [ g4 ]  [ K e6 ]  [ g5 ]  [ K e5 ]  [ g6 ] , [ K d4 ]  Nows he's throwing his last attack. Do or Die.
 [ B e3 ]  [ B b7 ] , [ Q c2 ]  supports the [ e4 ] pawn
 [ Q d3 ] , [ R e6 e5 ]  Here it seems to me that Black is playing for a draw.
 [ N b3 ] , [ R e8 ]  Useless move that makes my victory much easier.
 [ e4 ]  [ e5 ]  [ N f3 ]  [ N c6 ]  [ d4 ]  [ e x d4 ]  [ N x d4 ]  [ N f6 ]  [ N c3 ]  [ B b4 ]  [ N x c6 ]  [ b x c6 ]  [ B d3 ]  [ O-O ]  [ O-O ]  [ B x c3 ]  [ b x c3 ]  [ d6 ]  [ h3 ]  [ Q e7 ]  [ Q f3 ]  [ N d7 ]  [ B f4 ]  [ N e5 ]  [ Q g3 ]  [ N g6 ]  [ B e3 ] , [ c5 ]  Preventing Bd4. Black's play is horrible leaving the initiative to white
 [ d5 ]  [ c4 ]  [ d x c4 ] , [ e4 ]  My usual 3rd move - to occupy the centre with a view to playing [ N c3 ] & pawn to d5.
 [ Q c2 ] , [ Q e7 ]  Possibly heading for [ e5 ] which will be vacated by the Knight betimes. Possibly 13...[ Q d7 ] came into consideration as well.
 [ N d7 ] , [ B d3 ]  Trying to remove blacks active bishop
 [ Q x f6 ]  [ N c3 ] , [ a6 ]  Encouraging the exchange.
 [ c4 ] , [ N c6 ]  2. [ c3 ] is the Alapin Variation but I am not sure about 2. c4. Wikipedia says it occasionally leads to positions that resemble the English Opening (for obvious reasons) but doesn't offer the move any name or analysis. So I'm dubiously dubbing it the English-Alapin Variation for lack of a better name (no even though it's the title of the game this name is just me clowning around I don't think this is or should be the real name of this opening) at least until some commenter offers me a real name. Black responds with a natural developing move. Also the knight on [ c6 ] covers [ e5 ] so it allows black to play [ N f6 ] without worrying about white responding with e5.
 [ f5 ] , [ R g1 ]  Not sure why not [ R e1 ] instead.
 [ Q d8 ]  [ R e1 ]  [ f5 ]  [ Q e6 + ]  [ K f8 ] , [ g3 ]  The bishop is looking for g2.
 [ Q c7 ] , [ Q e2 ]  I wanted to throw a curve ball at white now so move.
 [ d4 ]  [ d5 ]  [ N c3 ]  [ d x e4 ]  [ N x e4 ]  [ N f6 ]  [ N x f6 + ] , [ g x f6 ]  I learned the Caro-Kann back in the 80s because of this variation. But other variations gained favor and I never got to use this in tournaments. Fortunately I've had a couple of opportunities with GK.
 [ B h6 ]  [ d3 ]  [ c5 ]  [ R a b1 ]  [ h4 ] , [ R b7 ]  Bring my rook out and outpost it in my opponents territory
 [ K g2 ]  [ B e5 ]  [ N e7 ]  [ Q d8 ] , [ N g6 + ]  Here with 90 seconds plus 10 second increments remaining and slightly more for my opponent I decided to offer a draw. As my position was better here he accepted.
 [ B g6 ]  [ R e1 ] , [ O-O ]  White's c3-knight is pinned again but a dangerous rook on the e-file threatens me greatly. The key is to double pawns on the c-file then try to dominate the b-file with a rook.
 [ b4 ]  [ R e5 ] , [ R d8 ]  34. [ R d8 ] - pinning my knight and forcing Kg7.
 [ R c8 ] , [ R c c2 ]  Probably to set the rook on a light square because black has only the DSB left
 [ e4 ]  [ e5 ]  [ N f3 ]  [ N c6 ]  [ B c4 ] , [ B c5 ]  An original response by black.
 [ B d4 ]  [ R c1 ]  [ N f4 ] , [ N d1 ]  [ N d1 ] ?? the following black move forces resignation. can you find it ?
 [ e x f2 + ]  [ K f1 ] , [ R c8 ]  In this moment I think 22...R:[ [ c1 ] ] 23.R:[ [ c1 ] ] [ N e3 ] and I take the Q.
 [ Q x d6 ]  [ Q x h7 + ]  [ K f8 ]  [ Q h8 + ]  [ K e7 ]  [ R e1 + ] , [ N e5 ]  Black gives back the material. If worse comes to worse I will have two bishops for a rook (meaning I gained a pawn back and am left with two bishops rather than a bishop and knight) - a VERY playable middlegame and endgame. This move is the only one available to Black that doesn't spell total disaster - materially but still doesn't remove my tempo.
 [ f6 ]  [ e x f6 ] , [ N d x f6 ]  i think that [ R x f6 ] is better...
 [ N c4 ]  [ N e5 ]  [ N b6 ]  [ R b8 ]  [ f4 ]  [ e x f3 ]  [ e ]  [ p ] , [ B x f3 ]  The biggest problem for Carlsen is he is really the underdog. He is not only playing against Caruana alone. He is also playing against Caruana's team of seconds Stockfish and Super Computers. From the time on the clock it seems that Caruana is still in his element. While Black is objectively OK here in reality Carlsen is in real pressure. He has no idea what else Caruana had cooked up at home. So he is trying to figure things out over the board knowing one mistake can cost him the World Championship title. Carlsen's struggle is real! One thing that really surprises me is why so many players insisting on repeating the same opening choice over & over again in World Championship matches. We saw how that worked out with Kasparov versus Kramnik as well as other matches. This plays into opponents' preparation advantage. Why not mix things up?
 [ K f7 ] , [ a4 ]  wondering if I could hope up some room for my rooks to roam
 [ N x c4 + ]  [ K d3 ] , [ Q f5 + ]  Another blunder. King takes knight. And shortly thereafter pawn will take bishop. Remember all the way back at 16 when I said Black should have withdrawn that the game was lost but at least they could make a last stand? That's really what Black should have done.
 [ b4 ] , [ K f3 ]  I try and get my king into the action
 [ g3 ]  [ N f6 ]  [ K h2 ]  [ K h8 ] , [ K g2 ]  Should have moved there before
 [ B e5 ]  [ f6 ]  [ Q x e4 ] , [ g x h4 ]  The point of black's play.
 [ f6 ] , [ B e3 ]  pulling back. Lots of pawns developed on black's side but I feel pretty good about my center control.
 [ K e8 ] , [ N g5 ]  threatening [ e6 ] and offers the exchange of bishop by knight
 [ K d5 ] , [ K d3 ]  This is another story.
 [ f2 ]  [ K f4 ]  [ f1 = Q + ]  [ K g4 ]  [ K x c6 ] , [ K g3 ]  Now there is a forced mate in 3.
 [ f6 ]  [ f5 ]  [ B d7 ]  [ N e3 ]  [ B c6 ]  [ d4 ] , [ B b4 ]  You've played well but like I said on move 19 I think black had a basically winning advantage. Now it seems like black has the center under control and is ready to start pressing his advantage. The next couple moves are pretty big tactical mistakes but I couldn't see a good way for you to press on. Note how the 2 bishops are starting to look better to than the Ns. Especially the [ b4 ] one. It keeps your Rook on [ a1 ] tied to the a-pawn and stops you from putting a R on c1. After a few more moves I think they would have been even better.
 [ Q e8 ] , [ R x d1 ]  Ok now he has a quality but I have a much better position (than before!) and my [ d6 ] pawn begins to "play"!
 [ Q a3 + ]  [ K c2 ]  [ Q a2 + ]  [ B b2 ]  [ R g8 ]  [ Q d4 ]  [ B e6 ]  [ B d3 ]  [ K h5 ]  [ c7 ]  [ Q b3 + ]  [ K c1 ]  [ K g4 ] , [ b6 ]  white has nothing in trying to push the mate. Instead I go for the sure win which is promoting the pawn
 [ R c a5 ]  [ R x a6 ]  [ R x a6 ] , [ B a2 ]  Now he loses [ c6 ] but there was no defence anyway. White will just capture on [ a7 ] with the bishop maintain his grip and gradually advance the a-pawn.
 [ B x b7 ]  [ R x b7 ]  [ g3 ]  [ f x g3 ]  [ R x g3 ]  [ R b b8 ]  [ N g5 ]  [ B x g5 ]  [ h x g5 ]  [ h4 ]  [ R g4 ]  [ Q b5 ]  [ R x h4 ]  [ Q f1 + ]  [ K a2 ]  [ Q g2 ]  [ f4 ] , [ Q x e4 ]  and the white resign ! why ? this game was interesting so why resign so quick ?
